Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;PasPress;Sw;PasCrs;CK;CkIn;CkOut;CkStr;PasGround;PasLow;PasHigh;PaswLeft;PaswRight;PaswHead;TI;PaswOther;PasCmp;PasOff;PasOut;PasInt;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Press;PresSucc;Press%;PresDef3rd;PresMid3rd;PresAtt3rd;Blocks;BlkSh;BlkShSv;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;DriSucc;DriAtt;DriSucc%;DriPast;DriMegs;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;RecTarg;Rec;Rec%;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
1;Max Aarons;ENG;DF;Norwich City;Premier League;22;2000;30;28;2521;28;0;0.43;0.07;16.7;0;0;20.7;0;0;0;34.8;46.1;75.3;581.7;219.8;18;19.9;90.5;13.4;17.5;76.3;3.04;6.93;43.8;0.04;0.57;1.54;1.14;0.25;3.04;46.1;35;11.2;0.82;0.07;5.43;0.61;1.46;0;0;0;0;26.8;9.89;9.5;5.21;29.2;0.86;10.4;0.07;34.8;0.25;0.93;1.68;1.71;1.21;0.89;0.04;0.11;0.11;0.07;0;0.14;0.14;0;0;0;0;0;2.21;1.29;1.61;0.61;0;1.29;2;64.3;0.71;13.1;3.57;27.2;7.64;4.18;1.29;2.79;0.68;0;2.11;1.64;3.86;2.18;0;59.4;5.07;23.3;24.8;15.7;0.93;48.6;1.07;2.57;41.7;1.14;0.21;34.4;205.9;125.4;5.39;1.68;0.39;0.86;0.96;36.9;33.2;89.9;1.32;0.25;0;0;1;1.82;0.04;1.46;1.29;0;0.07;0.04;5.46;0.5;1.61;23.7
2;Yunis Abdelhamid;MAR;DF;Reims;Ligue 1;34;1987;31;31;2713;30.1;0.07;0.6;0.2;33.3;0.11;0.33;18.7;0;0;0;38.4;46.7;82.1;825.7;280.3;10.2;11.3;90.3;22.2;24.9;89.2;5.58;9.1;61.3;0;0.2;2.36;0.17;0;2.56;46.7;43.5;3.26;2.66;0;5.78;1.66;0.03;0;0;0;0;34.9;3.85;8.01;31.6;11.9;1.46;0.47;0.13;38.4;0.17;1.03;1.23;0.93;0.63;0.4;0;0.1;0.03;0;0.1;0.03;0;0;0.03;0;0;0;1.86;1.36;1.3;0.53;0.03;0.37;0.83;44;0.47;13.6;4.78;35.2;7.74;5.05;0.8;1.86;0.73;0.07;1.13;3.12;4.98;3.19;0;57.1;7.84;32.1;26.4;2.82;0.86;54.1;0.5;0.66;75;0.5;0.03;35.6;202.8;113.4;2.86;0.73;0;0.47;0.43;36.9;35.8;97;0.33;0.17;0.03;0;1.33;0.76;0;0.03;1.36;0;0;0;6.91;2.09;1.36;60.6
3;Salis Abdul Samed;GHA;MF;Clermont Foot;Ligue 1;22;2000;30;28;2398;26.6;0.04;0.68;0.19;27.8;0.06;0.2;20.3;0;0;0;56.6;61.8;91.7;1049.2;188.3;22.7;24.3;93.3;26.3;27.7;94.9;6.84;7.97;85.8;0;0.53;2.78;0.49;0.04;3.01;61.8;61;0.75;0.6;0.04;8.08;0.79;0.38;0;0;0;0;53.2;4.7;3.83;4.85;53.8;1.92;0.15;0.3;56.6;0.08;0.6;1.24;0.83;1.43;1.05;0;0;0.15;0.15;0.08;0.04;0.04;0;0;0;0;0;1.99;1.24;0.9;0.9;0.19;0.71;2.22;32.2;1.5;23.3;6.58;28.2;7.26;12.1;3.98;0.9;0.04;0;0.86;1.92;3.91;0.56;0;71.1;2.07;23;42;11;0.64;70.5;1.02;1.58;64.3;1.13;0.08;54.2;247.9;107;2.86;0.71;0.15;0.83;1.5;59.3;55;92.7;1.73;0.41;0.11;0.08;1.54;1.2;0;0.38;1.24;0;0;0;8.68;0.86;0.9;48.9
4;Laurent Abergel;FRA;MF;Lorient;Ligue 1;29;1993;31;31;2708;30.1;0;0.86;0.23;26.9;0;0;22.2;0;0;0;40;49.1;81.5;770.7;205.3;16;18.1;88.6;16.9;19.2;88;6.25;9.27;67.4;0.07;0.9;3.92;0.56;0.2;4.05;49.1;48.2;0.86;0.66;0.2;9.2;1.53;0.76;0;0;0;0;36.7;5.58;6.78;4.45;43.4;0.66;0.17;0.07;40;0.23;0.5;1.79;1.79;2.06;1.5;0.07;0.03;0.03;0.23;0.2;0.17;0.13;0;0;0;0.03;0;3.69;2.29;1.56;1.79;0.33;1.79;4.82;37.2;3.02;28.1;8.04;28.6;9.44;15.3;3.32;1.69;0.1;0;1.59;2.66;6.35;0.37;0;61.1;0.73;14;39.9;11.2;0.47;60.5;1.36;2.09;65.1;1.43;0.1;45.1;169.8;86;2.82;1.13;0.07;0.86;1.5;45.2;42.1;93.2;1.76;0.3;0;0;1.46;2.16;0.03;0.76;2.29;0;0;0;9.1;0.4;0.43;48
5;Charles Abi;FRA;FW;Saint-Étienne;Ligue 1;22;2000;1;1;45;0.5;0;0;0;0;0;0;0;0;0;0;4;12;33.3;48;0;2;4;50;2;6;33.3;0;0;0;0;0;0;0;0;0;12;12;0;0;0;6;0;2;0;0;0;0;10;0;2;12;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;28;2;7.1;0;22;6;2;0;0;2;0;0;0;0;24;0;0;10;18;6;24;0;0;0;0;0;18;118;18;0;2;0;8;0;24;16;66.7;4;0;0;0;2;0;0;2;0;0;0;0;4;2;0;100
6;Dickson Abiama;NGA;FW;Greuther Fürth;Bundesliga;23;1998;23;5;723;8;0;2.25;0.5;22.2;0;0;15.6;0;0;0;10.9;17;64;153.4;39.5;6.5;9.5;68.4;3.13;4.75;65.8;0.5;1.13;44.4;0.13;1;0.75;0.75;0;1.63;17;15.9;1.13;0.13;0.13;5.13;0.13;0.25;0;0;0;0;10.6;4;2.38;3.25;9.25;2.38;0;0.38;10.9;0.25;0.63;0.63;1.13;2.5;1.5;0;0;0.13;0.25;0.63;0.25;0.13;0;0;0.13;0;0;1.75;0.88;0.38;0.88;0.5;0.25;1.38;18.2;1.13;23.4;4.75;20.3;2.63;10.1;10.6;1.25;0.38;0;0.88;1;2.75;0.88;0;33;1.13;3.5;15.4;15.8;3.88;31.9;0.75;2.25;33.3;0.88;0.13;18.9;71.9;40.8;2.63;1;0.88;5.13;1.38;41.4;21;50.8;6;0.38;0;0;2.25;1.5;1.88;0.25;0.88;0;0;0;4.88;2.75;5;35.5
7;Matthis Abline;FRA;FW;Rennes;Ligue 1;19;2003;7;1;103;1.1;0;1.82;0;0;0;0;8.6;0;0;0;7.27;9.09;80;90.9;20;3.64;5.45;66.7;3.64;3.64;100;0;0;0;0;0.91;0.91;0.91;0;0.91;9.09;9.09;0;0;0;3.64;0;0.91;0;0;0;0;8.18;0.91;0;2.73;6.36;0;0;0;7.27;0;0;0.91;0;0.91;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.91;0;0.91;23.6;3.64;15.4;3.64;12.7;7.27;1.82;0;0;1.82;0.91;0.91;0.91;0;22.7;1.82;1.82;10;10.9;2.73;22.7;0.91;1.82;50;0.91;0;16.4;61.8;31.8;2.73;0;0;1.82;4.55;35.5;11.8;33.3;7.27;0;0;0;1.82;0.91;0;0.91;0;0;0;0;6.36;0;1.82;0
8;Tammy Abraham;ENG;FW;Roma;Serie A;24;1997;34;33;2815;31.3;0.48;2.78;0.96;34.5;0.15;0.43;12;0.06;0.06;0.06;14.9;20.4;73;223.7;52.7;9.04;11.7;77.1;3.99;5.72;69.8;1.21;1.5;80.9;0.13;1.02;1.05;0.83;0.1;1.85;20.4;18.4;1.98;0.19;0.16;5.94;0.29;0.64;0;0;0;0;13.1;4.35;2.88;1.79;14.2;2.01;0.03;0.7;14.9;0;0.32;1.05;0.7;2.4;1.66;0.03;0.03;0.42;0.16;0.1;0.35;0.16;0;0.03;0.1;0.06;0;1.05;0.7;0.32;0.48;0.26;0.32;0.73;43.5;0.42;13.9;4.22;30.3;1.44;5.81;6.65;1.02;0.35;0;0.67;0.45;1.5;0.86;0;32.8;0.96;2.59;16.6;15.3;5.85;30.8;1.12;2.33;47.9;1.18;0.1;18.1;77.3;39.5;2.52;0.8;0.7;2.43;1.31;41.6;22.5;54.1;6.71;0.29;0;0;1.31;1.37;0.51;0.64;0.7;0;0.03;0;3.77;2.33;3;43.7
9;Luis Abram;PER;DF;Granada;La Liga;26;1996;8;6;560;6.2;0;0.32;0;0;0;0;7;0;0;0;31.3;35.5;88.2;696.8;186;6.77;7.42;91.3;18.5;20;92.7;5.81;7.74;75;0;0;1.29;0;0;1.45;35.5;34;1.45;0.81;0;1.61;1.13;0;0;0;0;0;28.2;2.42;4.84;29.2;3.55;1.77;0.32;0.16;31.3;0.16;0.16;0.32;0.16;0.48;0.16;0;0;0.32;0;0;0.16;0;0;0;0.16;0;0;1.13;0.97;0.81;0.16;0.16;0.48;0.65;75;0.16;5.65;2.1;37.1;2.26;3.23;0.16;2.1;0.81;0.32;1.29;1.77;2.9;6.29;0.16;46.8;10.2;30;18.2;1.13;0.81;45.5;0;0;0;0;0;25.2;129.5;77.1;1.13;0;0;0.32;0;30.2;29.4;97.3;0.16;0.32;0;0;0.81;0.81;0;0;0.97;0;0;0.16;4.03;1.94;2.42;44.4
10;Francesco Acerbi;ITA;DF;Lazio;Serie A;34;1988;27;26;2266;25.2;0.16;0.56;0.2;35.7;0.29;0.8;9;0;0;0;64.4;71.4;90.3;1365.4;426.3;20;21.4;93.3;33.1;35.2;94;10.6;13.5;78.2;0;0.24;4.56;0.24;0;3.41;71.4;68.8;2.54;2.22;0.08;6.15;2.66;0.04;0;0;0;0;52.1;6.07;13.2;54.1;12.3;2.78;0.04;0.2;64.4;0.04;0.71;0.87;0.44;0.67;0.52;0.04;0;0.04;0.08;0;0.08;0.04;0;0;0;0.04;0;0.83;0.4;0.63;0.2;0;0.24;0.63;37.5;0.4;5.95;1.71;28.7;3.21;2.3;0.44;1.83;1.15;0;0.67;1.79;2.62;4.29;0.04;80.8;12.4;42.3;41.3;2.42;0.79;78.5;0.12;0.16;75;0.12;0;52.3;286.9;165.4;3.65;0.71;0;0.32;0.12;58.7;57.8;98.4;0.36;0.04;0.04;0;0.71;0.71;0.12;0.04;0.4;0.04;0;0;10.9;3.02;1.71;63.9
